1006111629-b6ba5 | http://is13.auto.ru/all/images/39/22/60x45/3922682a.jpg |  Hyundai Solaris I1.4 AT (107 л.с.)  | #9c9999 | 590 000 |  2013  |  52 000 км  |  1.4 AT (107 л.с.)седан, бензин, передний  | Санкт-Петербург | 02.01.15
1006111953-d49fdc | http://is6.auto.ru/all/images/3c/c4/60x45/3cc4a59a.jpg |  Hyundai Solaris I1.4 MT (107 л.с.)  | #9966CC | 450 000 |  2012  |  42 000 км  |  1.4 MT (107 л.с.)седан, бензин, передний  | Псков | 02.01.15
1005857587-cdb2e0 | http://is17.auto.ru/all/images/8b/a8/60x45/8ba8f83d.jpg |  Hyundai Solaris I1.6 AT (123 л.с.)  | #0000FF | 515 000 |  2011  |  44 000 км  |  1.6 AT (123 л.с.)седан, бензин, передний  | Санкт-Петербург | 02.01.15
1006026751-09174 | http://is18.auto.ru/all/images/6e/02/60x45/6e0293b7.jpg |  Hyundai Solaris I1.6 MT (123 л.с.)  | #ffefd5 | 498 000 |  2011  |  57 800 км  |  1.6 MT (123 л.с.)седан, бензин, передний  | Коломна | 02.01.15
1006113761-93e16e | http://is17.auto.ru/all/images/2b/2f/60x45/2b2f6a83.jpg |  Hyundai Solaris I1.6 MT (123 л.с.)  | #9c9999 | 470 000 |  2011  |  69 000 км  |  1.6 MT (123 л.с.)седан, бензин, передний  | Энгельс | 02.01.15
1006155835-697d | http://is17.auto.ru/all/images/e3/46/60x45/e3468ad9.jpg |  Hyundai Solaris I1.6 AT (123 л.с.)  | #FFFFFF | 530 000 |  2011  |  89 000 км  |  1.6 AT (123 л.с.)седан, бензин, передний  | Москва | 03.01.15
1006161355-7ff98 | http://is15.auto.ru/all/images/5e/7a/60x45/5e7aaff9.jpg |  Hyundai Solaris I1.6 AT (123 л.с.)  | #000000 | 650 000 |  2012  |  27 000 км  |  1.6 AT (123 л.с.)седан, бензин, передний  | Реутов | 03.01.15
1003964774-6425 | http://is2.auto.ru/all/images/08/37/60x45/08370a6a.jpg |  Hyundai Solaris I1.6 AT (123 л.с.)  | #FFFFFF | 668 100 |  2013  |  6 277 км  |  1.6 AT (123 л.с.)седан, бензин, передний  | Москва | 03.01.15
1006155187-717ecd | http://is13.auto.ru/all/images/d6/f1/60x45/d6f1c9ad.jpg |  Hyundai Solaris I1.6 MT (123 л.с.)  | #9c9999 | 425 000 |  2011  |  45 000 км  |  1.6 MT (123 л.с.)седан, бензин, передний  | Павлово | 03.01.15
1005699593-d95275 | http://is9.auto.ru/all/images/24/29/60x45/24292db3.jpg |  Hyundai Solaris I1.4 AT (107 л.с.)  | #9966CC | 495 000 |  2012  |  43 000 км  |  1.4 AT (107 л.с.)седан, бензин, передний  | Великий Новгород | 03.01.15
1006183583-8ec44a | http://is10.auto.ru/all/images/5e/b8/60x45/5eb883fb.jpg |  Hyundai Solaris I1.6 AT (123 л.с.)  | #9c9999 | 585 000 |  2012  |  72 000 км  |  1.6 AT (123 л.с.)седан, бензин, передний  | Ростов-на-Дону | 04.01.15
1006203147-149039 | /i/all7/img/no-photo-thumb.gif |  Hyundai Solaris I1.6 MT (123 л.с.)  | #CACECB | 520 000 |  2012  |  40 000 км  |  1.6 MT (123 л.с.)седан, бензин, передний  | Славянск-на-Кубани | 04.01.15
1003129902-1899 | http://is6.auto.ru/all/images/b8/98/60x45/b8986231.jpg |  Hyundai Solaris I1.4 MT (107 л.с.)  | #ffefd5 | 460 000 |  2011  |  34 000 км  |  1.4 MT (107 л.с.)хэтчбек, бензин, передний  | Максатиха | 04.01.15
1006206143-7d1589 | http://is16.auto.ru/all/images/3d/73/60x45/3d73bfc6.jpg |  Hyundai Solaris I1.6 AT (123 л.с.)  | #000000 | 660 000 |  2012  |  58 000 км  |  1.6 AT (123 л.с.)седан, бензин, передний  | Москва | 04.01.15
1005859813-fbb62d | http://is3.auto.ru/all/images/af/e2/60x45/afe2229a.jpg |  Hyundai Solaris I Рестайлинг1.6 MT (123 л.с.)  | #FF0000 | 715 000 |  2014  |  7 000 км  |  1.6 MT (123 л.с.)седан, бензин, передний  | Москва | 04.01.15
