1007266253-da593f | http://is2.auto.ru/all/images/68/b9/60x45/68b96864.jpg |  Mercedes-Benz C-klasse III (W204) 3503.5 AT (272 л.с.)  | #000000 | 890 000 |  2008  |  88 000 км  |  3.5 AT (272 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007128761-989d58 | http://is16.auto.ru/all/images/b5/79/60x45/b579ad89.jpg |  Mercedes-Benz C-klasse II (W203) 2001.8 AT (163 л.с.)  | #FF0000 | 625 000 |  2006  |  93 774 км  |  1.8 AT (163 л.с.)седан, бензин, задний  | Екатеринбург | 23.01.15
1005274881-88438 | http://is14.auto.ru/all/images/72/4f/60x45/724f17f7.jpg |  Mercedes-Benz C-klasse III (W204) 1801.6 AT (156 л.с.) 7G-TRONIC PLUS  | #CACECB | 890 000 |  2010  |  83 681 км  |  1.6 AT (156 л.с.) 7G-TRONIC PLUSседан, бензин, задний  | Екатеринбург | 23.01.15
1005196363-99bb | http://is2.auto.ru/all/images/0d/0f/60x45/0d0fa6ff.jpg |  Mercedes-Benz C-klasse III (W204) 1801.8 AT (156 л.с.) BlueEFFICIENCY  | #FF0000 | 949 000 |  2010  |  33 433 км  |  1.8 AT (156 л.с.) BlueEFFICIENCYседан, бензин, задний  | Москва | 23.01.15
1007264167-6902ef | http://is4.auto.ru/all/images/3a/56/60x45/3a56a71c.jpg |  Mercedes-Benz C-klasse III (W204) 3003.0 AT (231 л.с.) 4WD  | #9c9999 | 1 270 000 |  2010  |  63 000 км  |  3.0 AT (231 л.с.) 4WDседан, бензин, полный  | Москва | 23.01.15
1007264791-718498 | http://is2.auto.ru/all/images/dc/99/60x45/dc9930b7.jpg |  Mercedes-Benz C-klasse III (W204) Рестайлинг 2001.8 AT (184 л.с.)  | #FFFFFF | 1 270 000 |  2012  |  47 000 км  |  1.8 AT (184 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007264671-75a53f | http://is11.auto.ru/all/images/73/4a/60x45/734aa370.jpg |  Mercedes-Benz C-klasse III (W204) Рестайлинг 1801.6 AT (156 л.с.)  | #926547 | 1 300 000 |  2013  |  25 000 км  |  1.6 AT (156 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007264707-9812df | http://is10.auto.ru/all/images/1c/75/60x45/1c75012f.jpg |  Mercedes-Benz C-klasse III (W204) Рестайлинг 2501.8 AT (204 л.с.)  | #FFFFFF | 1 475 000 |  2013  |  22 000 км  |  1.8 AT (204 л.с.)купе, бензин, задний  | Москва | 23.01.15
1004831681-3040 | http://is2.auto.ru/all/images/fd/71/60x45/fd711a1e.jpg |  Mercedes-Benz C-klasse III (W204) Рестайлинг 3003.5 AT (250 л.с.) 4WD  | #FFFFFF | 1 699 000 |  2012  |  83 739 км  |  3.5 AT (250 л.с.) 4WDседан, бензин, полный  | Москва | 23.01.15
1007264243-bdd017 | http://is6.auto.ru/all/images/c1/d5/60x45/c1d59951.jpg |  Mercedes-Benz C-klasse III (W204) Рестайлинг 1801.6 AT (156 л.с.)  | #FFFFFF | 1 900 000 |  2014  |  14 км  |  1.6 AT (156 л.с.)купе, бензин, задний  | Москва | 23.01.15
1005341249-9e17e | http://is2.auto.ru/all/images/1b/67/60x45/1b6715d3.jpg |  Mercedes-Benz C-klasse IV (W205) 1801.6 AT (156 л.с.)  | #FFFFFF | 2 000 000 |  2014  |  1 072 км  |  1.6 AT (156 л.с.)седан, бензин, задний  | Москва | 23.01.15
