1007283743-3e21 | http://is11.auto.ru/all/images/50/90/60x45/50903713.jpg |  Honda CR-V I2.0 AT (128 л.с.) 4WD  | #0000FF | 240 000 |  1998  |  137 855 км  |  2.0 AT (128 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007283411-6375b | http://is2.auto.ru/all/images/95/1f/60x45/951f7932.jpg |  Honda CR-V II2.4 AT (162 л.с.) 4WD  | #0000FF | 425 000 |  2004  |  99 300 км  |  2.4 AT (162 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007282673-c09a50 | http://is7.auto.ru/all/images/0e/4e/60x45/0e4e9a41.jpg |  Honda CR-V I2.0 MT (128 л.с.) 4WD  | #0000FF | 310 000 |  1999  |  116 000 км  |  2.0 MT (128 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007282759-dc2b19 | http://is6.auto.ru/all/images/c3/35/60x45/c335ba63.jpg |  Honda CR-V I2.0 AT (128 л.с.)  | #0000FF | 328 000 |  1999  |  136 000 км  |  2.0 AT (128 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007282911-c844 | http://is6.auto.ru/all/images/47/18/60x45/471803ca.jpg |  Honda CR-V I2.0 AT (128 л.с.) 4WD  | #34ba2b | 330 000 |  1999  |  135 000 км  |  2.0 AT (128 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007282851-033b | http://is2.auto.ru/all/images/5f/da/60x45/5fdac8b0.jpg |  Honda CR-V I Рестайлинг2.0 AT (147 л.с.) 4WD  | #34ba2b | 335 000 |  2001  |  128 000 км  |  2.0 AT (147 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007282787-6685a | http://is6.auto.ru/all/images/53/1e/60x45/531e3c83.jpg |  Honda CR-V I Рестайлинг2.0 AT (147 л.с.) 4WD  | #34ba2b | 348 000 |  2000  |  138 000 км  |  2.0 AT (147 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007282749-58e9b | http://is15.auto.ru/all/images/f4/45/60x45/f4453dcf.jpg |  Honda CR-V I Рестайлинг2.0 AT (147 л.с.) 4WD  | #CACECB | 358 000 |  2001  |  108 000 км  |  2.0 AT (147 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007282779-b76bfa | http://is3.auto.ru/all/images/37/15/60x45/37159aae.jpg |  Honda CR-V I Рестайлинг2.0 AT (147 л.с.) 4WD  | #ffefd5 | 315 000 |  1999  |  148 000 км  |  2.0 AT (147 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007282055-2550 | http://is10.auto.ru/all/images/35/0b/60x45/350bd46f.jpg |  Honda CR-V I2.0 AT (128 л.с.) 4WD  | #34ba2b | 305 000 Правый руль |  1997  |  195 000 км  |  2.0 AT (128 л.с.) 4WDвнедорожник, бензин, полный  | Сретенск | 23.01.15
1007281395-11b1e | http://is3.auto.ru/all/images/1f/c6/60x45/1fc6c3a2.jpg |  Honda CR-V I Рестайлинг2.0 AT (147 л.с.) 4WD  | #0000FF | 325 000 |  2001  |  120 000 км  |  2.0 AT (147 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007281545-f38d1 | http://is1.auto.ru/all/images/ff/f8/60x45/fff8e743.jpg |  Honda CR-V II2.0 AT (150 л.с.) 4WD  | #0000FF | 395 000 |  2002  |  100 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007281201-d25ef | http://is11.auto.ru/all/images/d0/55/60x45/d055fdcb.jpg |  Honda CR-V IV2.0 AT (150 л.с.) 4WD  | #000000 | 1 380 000 |  2013  |  35 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007281213-2804a4 | http://is1.auto.ru/all/images/c9/d3/60x45/c9d361d0.jpg |  Honda CR-V II2.0 MT (150 л.с.) 4WD  | #000000 | 385 000 |  2002  |  91 000 км  |  2.0 MT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007278561-b5259d | http://is16.auto.ru/all/images/80/3c/60x45/803cccef.jpg |  Honda CR-V III2.4 AT (166 л.с.) 4WD  | #9c9999 | 829 000 |  2008  |  75 696 км  |  2.4 AT (166 л.с.) 4WDвнедорожник, бензин, полный  | Коломна | 23.01.15
1007278717-6834a | http://is2.auto.ru/all/images/e8/3e/60x45/e83ed9ba.jpg |  Honda CR-V III2.4 AT (166 л.с.) 4WD  | #9c9999 | 859 000 |  2008  |  121 000 км  |  2.4 AT (166 л.с.) 4WDвнедорожник, бензин, полный  | Коломна | 23.01.15
1007278941-6fefc | /i/all7/img/no-photo-thumb.gif |  Honda CR-V II2.4 AT (162 л.с.) 4WD  | #CACECB | 454 000 |  2003  |  99 500 км  |  2.4 AT (162 л.с.) 4WDвнедорожник, бензин, полный  | Коломна | 23.01.15
1006285465-48ca5 | http://is14.auto.ru/all/images/27/c5/60x45/27c5cf24.jpg |  Honda CR-V III Рестайлинг2.4 AT (166 л.с.) 4WD  | #0000FF | 1 199 000 |  2011  |  38 521 км  |  2.4 AT (166 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1006285467-e194 | http://is5.auto.ru/all/images/fd/3f/60x45/fd3f345b.jpg |  Honda CR-V II2.0 AT (150 л.с.) 4WD  | #0000FF | 499 000 |  2003  |  280 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1005420119-4194 | http://is13.auto.ru/all/images/41/71/60x45/417166b5.jpg |  Honda CR-V III2.0 AT (150 л.с.) 4WD  | #9c9999 | 899 000 |  2008  |  74 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
