1007275329-8b72a | http://is11.auto.ru/all/images/80/02/60x45/8002f521.jpg |  Skoda Fabia II Рестайлинг1.6 AT (105 л.с.)  | #9c9999 | 550 000 |  2012  |  26 000 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006839367-7c0d | http://is5.auto.ru/all/images/7a/f4/60x45/7af49612.jpg |  Skoda Fabia II Рестайлинг1.2 MT (70 л.с.)  | #FFFFFF | 530 000 |  2013  |  53 500 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005943899-e505e | http://is10.auto.ru/all/images/3b/01/60x45/3b010a3d.jpg |  Skoda Fabia II Рестайлинг1.6 AT (105 л.с.)  | #34ba2b | 650 000 |  2012  |  13 230 км  |  1.6 AT (105 л.с.)универсал, бензин, передний  | Краснодар | 23.01.15
1005658427-6e70 | http://is18.auto.ru/all/images/ce/a9/60x45/cea9d6ae.jpg |  Skoda Fabia II Рестайлинг Scout1.6 AT (105 л.с.)  | #000000 | 659 000 |  2013  |  20 000 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006181927-51a2 | http://is2.auto.ru/all/images/de/d9/60x45/ded9ba48.jpg |  Skoda Fabia II Рестайлинг Scout1.6 AT (105 л.с.)  | #34ba2b | 690 000 |  2012  |  45 000 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006230863-77bb4 | http://is15.auto.ru/all/images/38/b5/60x45/38b55f1c.jpg |  Skoda Fabia I1.4 MT (60 л.с.)  | #000000 | 260 000 |  2001  |  83 800 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006230865-b4ca | http://is11.auto.ru/all/images/e6/44/60x45/e6447472.jpg |  Skoda Fabia II1.2 MT (70 л.с.)  | #0000FF | 325 000 |  2008  |  183 408 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006772439-484106 | http://is9.auto.ru/all/images/06/f8/60x45/06f858bd.jpg |  Skoda Fabia II Рестайлинг1.2 MT (70 л.с.)  | #34ba2b | 390 000 |  2011  |  47 014 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007267423-c185e | http://is6.auto.ru/all/images/a6/f3/60x45/a6f38fc3.jpg |  Skoda Fabia II1.6 AT (105 л.с.)  | #9966CC | 400 950 |  2010  |  53 000 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007265157-1320 | http://is17.auto.ru/all/images/ab/5d/60x45/ab5de6e7.jpg |  Skoda Fabia I Рестайлинг1.4 MT (75 л.с.)  | #FF0000 | 289 000 |  2007  |  65 444 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
