1007271075-b7a08 | http://is15.auto.ru/all/images/df/3b/60x45/df3bf952.jpg |  Kia Sorento I2.4 MT (139 л.с.) 4WD  | #34ba2b | 475 000 |  2006  |  200 000 км  |  2.4 MT (139 л.с.) 4WDвнедорожник, бензин, полный  | Подольск | 23.01.15
1007271815-0a85a9 | http://is11.auto.ru/all/images/0e/2a/60x45/0e2a454b.jpg |  Kia Sorento I2.4 MT (139 л.с.) 4WD  | #34ba2b | 494 000 |  2006  |  160 000 км  |  2.4 MT (139 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007269753-2d61 | http://is11.auto.ru/all/images/0b/a8/60x45/0ba8a8a5.jpg |  Kia Sorento I Рестайлинг2.5d AT (170 л.с.) 4WD  | #9c9999 | 640 000 |  2009  |  59 837 км  |  2.5d AT (170 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007272121-c2f78 | http://is6.auto.ru/all/images/0a/46/60x45/0a46b4e9.jpg |  Kia Sorento I Рестайлинг2.5d MT (170 л.с.) 4WD  | #CACECB | 652 700 |  2007  |  93 125 км  |  2.5d MT (170 л.с.) 4WDвнедорожник, дизель, полный  | Казань | 23.01.15
1007266305-d2943a | http://is3.auto.ru/all/images/9a/06/60x45/9a06d7cd.jpg |  Kia Sorento II2.4 AT (175 л.с.) 4WD  | #000000 | 950 000 |  2010  |  92 712 км  |  2.4 AT (175 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007178413-3b9708 | http://is15.auto.ru/all/images/6b/37/60x45/6b374794.jpg |  Kia Sorento II2.4 AT (175 л.с.) 4WD  | #ffefd5 | 1 158 817 |  2010  |  114 009 км  |  2.4 AT (175 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007266831-9037e | http://is17.auto.ru/all/images/bd/f3/60x45/bdf3b0c3.jpg |  Kia Sorento I Рестайлинг3.3 AT (248 л.с.) 4WD  | #000000 | 625 000 |  2008  |  91 338 км  |  3.3 AT (248 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007266837-2931 | http://is2.auto.ru/all/images/f6/60/60x45/f6603590.jpg |  Kia Sorento I Рестайлинг3.3 AT (248 л.с.) 4WD  | #000000 | 659 000 |  2008  |  82 377 км  |  3.3 AT (248 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1006982095-7310b | http://is9.auto.ru/all/images/93/da/60x45/93da3162.jpg |  Kia Sorento I3.5 AT (195 л.с.) 4WD  | #FFCC00 | 484 825 |  2003  |  148 025 км  |  3.5 AT (195 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007063643-0efa | http://is2.auto.ru/all/images/f2/03/60x45/f203b7b8.jpg |  Kia Sorento II2.4 AT (175 л.с.) 4WD  | #9c9999 | 1 175 000 |  2011  |  87 000 км  |  2.4 AT (175 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1006886233-4180 | http://is18.auto.ru/all/images/9f/80/60x45/9f802058.jpg |  Kia Sorento II2.4 AT (175 л.с.) 4WD  | #FFFFFF | 1 339 000 |  2013  |  79 600 км  |  2.4 AT (175 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007262079-d89f | /i/all7/img/no-photo-thumb.gif |  Kia Sorento II2.4 AT (175 л.с.) 4WD  | #9c9999 | 1 042 000 |  2011  |  75 000 км  |  2.4 AT (175 л.с.) 4WDвнедорожник, бензин, полный  | Казань | 23.01.15
1006969769-6dca | http://is1.auto.ru/all/images/55/a9/60x45/55a91928.jpg |  Kia Sorento I2.5d AT (140 л.с.) 4WD  | #9c9999 | 500 000 |  2005  |  187 000 км  |  2.5d AT (140 л.с.) 4WDвнедорожник, дизель, полный  | Волоколамск | 23.01.15
1007118751-a37b | http://is5.auto.ru/all/images/81/6f/60x45/816f7023.jpg |  Kia Sorento I Рестайлинг2.5d AT (170 л.с.) 4WD  | #000000 | 750 000 |  2008  |  97 000 км  |  2.5d AT (170 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007255955-c7e8 | /i/all7/img/no-photo-thumb.gif |  Kia Sorento I2.5d AT (175 л.с.) 4WD  | #CACECB | 500 000 |  2005  |  200 000 км  |  2.5d AT (175 л.с.) 4WDвнедорожник, дизель, полный  | Новосибирск | 23.01.15
