1005635957-e1029 | http://is8.auto.ru/all/images/1d/25/60x45/1d25fe58.jpg |  Ford Focus III2.0 AT (150 л.с.)  | #CACECB | 750 000 |  2013  |  33 000 км  |  2.0 AT (150 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 24.12.14
1005636101-c73a | http://is11.auto.ru/all/images/c5/ae/60x45/c5aeee7b.jpg |  Ford Focus II1.8 MT (125 л.с.)  | #0088ff | 325 000 |  2007  |  190 004 км  |  1.8 MT (125 л.с.)универсал, бензин, передний  | Москва | 24.12.14
1002751179-34cf | http://is2.auto.ru/all/images/c2/5f/60x45/c25fdab4.jpg |  Ford Focus II Рестайлинг2.0 MT (145 л.с.)  | #9c9999 | 380 000 |  2009  |  109 000 км  |  2.0 MT (145 л.с.)универсал, бензин, передний  | Тольятти | 24.12.14
1005637561-ba75e | http://is16.auto.ru/all/images/75/78/60x45/757868df.jpg |  Ford Focus III2.0 AT (150 л.с.)  | #FFFFFF | 620 000 |  2012  |  88 694 км  |  2.0 AT (150 л.с.)хэтчбек, бензин, передний  | Москва | 24.12.14
1005637737-5cac | http://is18.auto.ru/all/images/4b/20/60x45/4b2077e6.jpg |  Ford Focus II1.6 MT (115 л.с.)  | #CACECB | 349 000 |  2005  |  116 000 км  |  1.6 MT (115 л.с.)седан, бензин, передний  | Клинцы | 24.12.14
1005438895-1226 | http://is16.auto.ru/all/images/9a/ac/60x45/9aacc016.jpg |  Ford Focus III2.0 AT (150 л.с.)  | #0000FF | 699 000 |  2012  |  26 000 км  |  2.0 AT (150 л.с.)седан, бензин, передний  | Ярославль | 24.12.14
1005639979-889c | http://is16.auto.ru/all/images/3f/1e/60x45/3f1ea082.jpg |  Ford Focus II Рестайлинг1.8d MT (116 л.с.)  | #000000 | 425 000 |  2011  |  63 000 км  |  1.8d MT (116 л.с.)хэтчбек, дизель, передний  | Нижний Новгород | 24.12.14
1005638957-1f707 | http://is3.auto.ru/all/images/c8/17/60x45/c817a759.jpg |  Ford Focus II1.8 MT (125 л.с.)  | #000000 | 310 000 |  2007  |  150 000 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Санкт-Петербург | 24.12.14
1005582615-9cf5f | http://is17.auto.ru/all/images/a6/9d/60x45/a69dfbff.jpg |  Ford Focus I Рестайлинг1.8 MT (115 л.с.)  | #CACECB | 255 000 |  2004  |  230 000 км  |  1.8 MT (115 л.с.)универсал, бензин, передний  | Калуга | 24.12.14
1005632327-136930 | http://is15.auto.ru/all/images/a5/ab/60x45/a5abd204.jpg |  Ford Focus I Рестайлинг1.6 MT (98 л.с.)  | #9c9999 | 220 000 |  2005  |  136 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Ярославль | 24.12.14
1005640779-6099be | /i/all7/img/no-photo-thumb.gif |  Ford Focus III2.0 AT (150 л.с.)  | #CACECB | 820 000 |  2013  |  40 000 км  |  2.0 AT (150 л.с.)седан, бензин, передний  | Обнинск | 24.12.14
1005641443-07cc6d | http://is11.auto.ru/all/images/67/84/60x45/6784e44c.jpg |  Ford Focus I Рестайлинг2.0 AT (130 л.с.)  | #0088ff | 200 000 |  2002  |  230 000 км  |  2.0 AT (130 л.с.)седан, бензин, передний  | Чебоксары | 24.12.14
1005641403-ca236 | http://is2.auto.ru/all/images/aa/d2/60x45/aad2289f.jpg |  Ford Focus I Рестайлинг1.6 MT (98 л.с.)  | #0000FF | 290 000 |  2004  |  122 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 24.12.14
1005641679-f504e4 | http://is2.auto.ru/all/images/85/61/60x45/85612410.jpg |  Ford Focus I2.0 AT (131 л.с.)  | #CC0033 | 240 000 |  2000  |  230 000 км  |  2.0 AT (131 л.с.)седан, бензин, передний  | Набережные Челны | 24.12.14
1005641545-c2c55 | /i/all7/img/no-photo-thumb.gif |  Ford Focus II1.8 MT (125 л.с.)  | #CACECB | 290 000 |  2007  |  165 000 км  |  1.8 MT (125 л.с.)хэтчбек, бензин, передний  | Красноярск | 24.12.14
1005573039-2f4eac | http://is7.auto.ru/all/images/00/5b/60x45/005b1aa4.jpg |  Ford Focus I2.0 AT (131 л.с.)  | #34ba2b | 180 000 |  2000  |  121 000 км  |  2.0 AT (131 л.с.)седан, бензин, передний  | Санкт-Петербург | 24.12.14
1005641919-41cb6 | http://is3.auto.ru/all/images/6e/78/60x45/6e788e65.jpg |  Ford Focus II1.6 MT (115 л.с.)  | #000000 | 255 000 |  2005  |  141 000 км  |  1.6 MT (115 л.с.)седан, бензин, передний  | Пенза | 24.12.14
1005641975-3c130 | http://is15.auto.ru/all/images/c4/c6/60x45/c4c66ca1.jpg |  Ford Focus III2.0 AT (150 л.с.)  | #FFFFFF | 699 000 |  2012  |  49 000 км  |  2.0 AT (150 л.с.)седан, бензин, передний  | Самара | 24.12.14
1005642917-e9ed29 | http://is1.auto.ru/all/images/a0/2d/60x45/a02d7005.jpg |  Ford Focus II Рестайлинг1.8 MT (125 л.с.)  | #000000 | 339 000 |  2008  |  145 000 км  |  1.8 MT (125 л.с.)хэтчбек, бензин, передний  | Рязань | 24.12.14
