1007240637-890b | http://is15.auto.ru/all/images/08/32/60x45/083265a6.jpg |  Toyota Avensis II2.0 AT (147 л.с.)  | #926547 | 525 000 |  2004  |  111 300 км  |  2.0 AT (147 л.с.)седан, бензин, передний  | Москва | 22.01.15
1004255113-64c0 | http://is8.auto.ru/all/images/62/0b/60x45/620bfb85.jpg |  Toyota Avensis I1.8 MT (110 л.с.)  | #CACECB | 240 000 |  1999  |  170 000 км  |  1.8 MT (110 л.с.)седан, бензин, передний  | Пенза | 22.01.15
1006980425-55e4c | http://is8.auto.ru/all/images/36/3a/60x45/363aca6c.jpg |  Toyota Avensis II Рестайлинг1.8 MT (129 л.с.)  | #0000FF | 595 000 |  2007  |  99 000 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Можайск | 22.01.15
1007246213-5484 | http://is16.auto.ru/all/images/40/5f/60x45/405f07fc.jpg |  Toyota Avensis II2.0 MT (147 л.с.)  | #FF0000 | 430 000 |  2005  |  98 000 км  |  2.0 MT (147 л.с.)седан, бензин, передний  | Москва | 22.01.15
48460518-4abf0 | http://is14.auto.ru/all/images/a9/b8/60x45/a9b8b6e6.jpg |  Toyota Avensis II Рестайлинг1.8 MT (129 л.с.)  | #CACECB | 565 000 |  2007  |  105 000 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007237105-b3c3 | http://is18.auto.ru/all/images/d3/18/60x45/d3189bde.jpg |  Toyota Avensis II Рестайлинг1.8 AT (129 л.с.)  | #CACECB | 600 000 |  2007  |  54 000 км  |  1.8 AT (129 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1005816861-7db179 | http://is7.auto.ru/all/images/0d/ce/60x45/0dce6885.jpg |  Toyota Avensis II Рестайлинг2.0 AT (147 л.с.)  | #CACECB | 680 000 |  2007  |  118 000 км  |  2.0 AT (147 л.с.)седан, бензин, передний  | Белгород | 22.01.15
1007046581-0d9f6 | http://is14.auto.ru/all/images/fd/e0/60x45/fde03a02.jpg |  Toyota Avensis I2.0 AT (128 л.с.)  | #000000 | 200 000 |  1998  |  386 000 км  |  2.0 AT (128 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005452885-05230 | http://is9.auto.ru/all/images/12/18/60x45/121880ec.jpg |  Toyota Avensis I2.0 AT (128 л.с.)  | #CACECB | 275 000 |  2001  |  120 000 км  |  2.0 AT (128 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1006413177-84c1 | http://is11.auto.ru/all/images/b2/ee/60x45/b2ee5bb1.jpg |  Toyota Avensis I Рестайлинг2.0d MT (110 л.с.)  | #0000FF | 265 000 |  2001  |  227 000 км  |  2.0d MT (110 л.с.)хэтчбек, дизель, передний  | Фурманов | 22.01.15
